Table with column headers in rows 2 through 3.,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
049,003,055,027,Utah,Box Elder County,Wisconsin,Dodge County,0,27,4,6,-4,6,4,6
049,003,056,029,Utah,Box Elder County,Wyoming,Park County,0,27,3,6,-3,6,3,6
049,003,056,037,Utah,Box Elder County,Wyoming,Sweetwater County,0,27,66,74,-66,74,66,74
049,003,ASI,,Utah,Box Elder County,Asia,-,25,23,,,,,,
049,003,CAM,,Utah,Box Elder County,Central America,-,28,28,,,,,,
049,003,EUR,,Utah,Box Elder County,Europe,-,42,21,,,,,,
049,003,NAM,,Utah,Box Elder County,Northern America,-,10,14,,,,,,
049,003,OCE,,Utah,Box Elder County,Oceania and At Sea,-,15,22,,,,,,
049,003,SAM,,Utah,Box Elder County,South America,-,78,78,,,,,,
049,005,001,045,Utah,Cache County,Alabama,Dale County,0,27,9,13,-9,13,9,13
049,005,002,020,Utah,Cache County,Alaska,Anchorage Municipality,12,30,0,20,12,30,12,30
049,005,002,122,Utah,Cache County,Alaska,Kenai Peninsula Borough,12,19,0,20,12,19,12,19
049,005,002,170,Utah,Cache County,Alaska,Matanuska-Susitna Borough,0,27,24,37,-24,37,24,37
049,005,002,230,Utah,Cache County,Alaska,Skagway Municipality,12,19,0,9,12,19,12,19
049,005,004,005,Utah,Cache County,Arizona,Coconino County,10,16,0,29,10,16,10,16
049,005,004,009,Utah,Cache County,Arizona,Graham County,51,58,0,26,51,58,51,58
049,005,004,013,Utah,Cache County,Arizona,Maricopa County,161,97,365,249,-204,266,526,269
049,005,004,017,Utah,Cache County,Arizona,Navajo County,0,27,10,17,-10,17,10,17
049,005,004,019,Utah,Cache County,Arizona,Pima County,105,114,0,29,105,114,105,114
049,005,004,021,Utah,Cache County,Arizona,Pinal County,11,17,0,29,11,17,11,17
049,005,005,119,Utah,Cache County,Arkansas,Pulaski County,0,27,39,59,-39,59,39,59
049,005,005,127,Utah,Cache County,Arkansas,Scott County,0,27,13,21,-13,21,13,21
049,005,005,131,Utah,Cache County,Arkansas,Sebastian County,0,27,50,79,-50,79,50,79
049,005,005,141,Utah,Cache County,Arkansas,Van Buren County,0,27,15,24,-15,24,15,24
049,005,006,001,Utah,Cache County,California,Alameda County,0,27,8,13,-8,13,8,13
049,005,006,019,Utah,Cache County,California,Fresno County,6,11,0,29,6,11,6,11
049,005,006,023,Utah,Cache County,California,Humboldt County,0,27,6,8,-6,8,6,8
049,005,006,027,Utah,Cache County,California,Inyo County,0,27,18,25,-18,25,18,25
049,005,006,037,Utah,Cache County,California,Los Angeles County,180,110,38,46,142,111,218,126
049,005,006,041,Utah,Cache County,California,Marin County,6,11,0,29,6,11,6,11
049,005,006,051,Utah,Cache County,California,Mono County,47,77,0,19,47,77,47,77
049,005,006,053,Utah,Cache County,California,Monterey County,21,30,0,29,21,30,21,30
049,005,006,059,Utah,Cache County,California,Orange County,38,37,0,29,38,37,38,37
049,005,006,067,Utah,Cache County,California,Sacramento County,17,24,0,29,17,24,17,24
049,005,006,071,Utah,Cache County,California,San Bernardino County,15,21,0,29,15,21,15,21
049,005,006,073,Utah,Cache County,California,San Diego County,84,65,0,29,84,65,84,65
049,005,006,077,Utah,Cache County,California,San Joaquin County,8,14,44,98,-36,97,52,101
049,005,006,079,Utah,Cache County,California,San Luis Obispo County,10,12,0,29,10,12,10,12
049,005,006,085,Utah,Cache County,California,Santa Clara County,10,13,16,18,-6,22,26,23
049,005,006,097,Utah,Cache County,California,Sonoma County,19,31,0,29,19,31,19,31
049,005,006,107,Utah,Cache County,California,Tulare County,3,8,0,29,3,8,3,8
049,005,006,111,Utah,Cache County,California,Ventura County,23,23,33,41,-10,46,56,48
049,005,008,001,Utah,Cache County,Colorado,Adams County,4,9,0,28,4,9,4,9
049,005,008,005,Utah,Cache County,Colorado,Arapahoe County,5,11,8,14,-3,18,13,17
049,005,008,013,Utah,Cache County,Colorado,Boulder County,0,27,48,55,-48,55,48,55
049,005,008,031,Utah,Cache County,Colorado,Denver County,14,24,0,28,14,24,14,24
049,005,008,035,Utah,Cache County,Colorado,Douglas County,5,11,28,37,-23,39,33,38
049,005,008,041,Utah,Cache County,Colorado,El Paso County,40,36,20,23,20,41,60,45
049,005,008,059,Utah,Cache County,Colorado,Jefferson County,42,67,7,20,35,71,49,70
049,005,008,063,Utah,Cache County,Colorado,Kit Carson County,0,27,9,11,-9,11,9,11
049,005,008,067,Utah,Cache County,Colorado,La Plata County,9,15,0,28,9,15,9,15
049,005,008,069,Utah,Cache County,Colorado,Larimer County,47,52,0,28,47,52,47,52
049,005,008,077,Utah,Cache County,Colorado,Mesa County,0,27,4,6,-4,6,4,6
049,005,008,085,Utah,Cache County,Colorado,Montrose County,6,10,0,25,6,10,6,10
049,005,009,001,Utah,Cache County,Connecticut,Fairfield County,21,31,0,28,21,31,21,31
049,005,009,009,Utah,Cache County,Connecticut,New Haven County,13,22,0,28,13,22,13,22
049,005,010,001,Utah,Cache County,Delaware,Kent County,0,27,9,14,-9,14,9,14
049,005,011,001,Utah,Cache County,District of Columbia,District of Columbia,28,40,0,29,28,40,28,40
049,005,012,011,Utah,Cache County,Florida,Broward County,9,14,0,31,9,14,9,14
049,005,012,033,Utah,Cache County,Florida,Escambia County,0,27,9,19,-9,19,9,19
049,005,012,057,Utah,Cache County,Florida,Hillsborough County,23,28,0,31,23,28,23,28
049,005,013,067,Utah,Cache County,Georgia,Cobb County,0,27,27,41,-27,41,27,41
049,005,013,117,Utah,Cache County,Georgia,Forsyth County,10,13,0,30,10,13,10,13
049,005,015,003,Utah,Cache County,Hawaii,Honolulu County,13,19,0,26,13,19,13,19
049,005,016,001,Utah,Cache County,Idaho,Ada County,27,20,59,73,-32,73,86,78
049,005,016,005,Utah,Cache County,Idaho,Bannock County,117,70,60,57,57,88,177,92
049,005,016,007,Utah,Cache County,Idaho,Bear Lake County,14,23,35,28,-21,36,49,37
049,005,016,011,Utah,Cache County,Idaho,Bingham County,53,54,25,30,28,63,78,62
049,005,016,017,Utah,Cache County,Idaho,Bonner County,1,2,0,25,1,2,1,2
049,005,016,019,Utah,Cache County,Idaho,Bonneville County,71,65,50,49,21,73,121,89
049,005,016,027,Utah,Cache County,Idaho,Canyon County,21,21,99,97,-78,100,120,98
049,005,016,029,Utah,Cache County,Idaho,Caribou County,1,3,5,7,-4,7,6,8
049,005,016,031,Utah,Cache County,Idaho,Cassia County,80,126,105,88,-25,159,185,149
049,005,016,037,Utah,Cache County,Idaho,Custer County,14,17,0,12,14,17,14,17
049,005,016,041,Utah,Cache County,Idaho,Franklin County,164,70,330,178,-166,191,494,191
049,005,016,047,Utah,Cache County,Idaho,Gooding County,12,16,0,19,12,16,12,16
049,005,016,049,Utah,Cache County,Idaho,Idaho County,0,27,4,8,-4,8,4,8
049,005,016,051,Utah,Cache County,Idaho,Jefferson County,58,50,20,27,38,55,78,58
049,005,016,057,Utah,Cache County,Idaho,Latah County,30,33,2,4,28,33,32,33
049,005,016,059,Utah,Cache County,Idaho,Lemhi County,0,27,38,59,-38,59,38,59
049,005,016,065,Utah,Cache County,Idaho,Madison County,32,28,28,46,4,54,60,54
049,005,016,067,Utah,Cache County,Idaho,Minidoka County,0,27,19,27,-19,27,19,27
049,005,016,069,Utah,Cache County,Idaho,Nez Perce County,15,26,0,25,15,26,15,26
049,005,016,071,Utah,Cache County,Idaho,Oneida County,0,27,8,10,-8,10,8,10
049,005,016,081,Utah,Cache County,Idaho,Teton County,14,16,0,19,14,16,14,16
049,005,016,083,Utah,Cache County,Idaho,Twin Falls County,10,15,61,65,-51,66,71,68
049,005,016,085,Utah,Cache County,Idaho,Valley County,14,20,0,19,14,20,14,20
049,005,017,029,Utah,Cache County,Illinois,Coles County,11,17,0,26,11,17,11,17
049,005,017,043,Utah,Cache County,Illinois,DuPage County,15,20,0,26,15,20,15,20
049,005,017,089,Utah,Cache County,Illinois,Kane County,2,4,0,26,2,4,2,4
049,005,017,093,Utah,Cache County,Illinois,Kendall County,38,61,0,26,38,61,38,61
049,005,017,097,Utah,Cache County,Illinois,Lake County,0,27,7,15,-7,15,7,15
049,005,018,127,Utah,Cache County,Indiana,Porter County,20,32,0,27,20,32,20,32
049,005,018,157,Utah,Cache County,Indiana,Tippecanoe County,0,27,12,19,-12,19,12,19
049,005,018,167,Utah,Cache County,Indiana,Vigo County,0,27,90,139,-90,139,90,139
049,005,019,107,Utah,Cache County,Iowa,Keokuk County,0,27,9,12,-9,12,9,12
049,005,019,123,Utah,Cache County,Iowa,Mahaska County,0,27,7,12,-7,12,7,12
049,005,020,091,Utah,Cache County,Kansas,Johnson County,0,27,34,39,-34,39,34,39
049,005,020,161,Utah,Cache County,Kansas,Riley County,0,27,32,35,-32,35,32,35
049,005,020,173,Utah,Cache County,Kansas,Sedgwick County,0,27,107,110,-107,110,107,110
049,005,022,019,Utah,Cache County,Louisiana,Calcasieu Parish,0,27,7,11,-7,11,7,11
049,005,023,011,Utah,Cache County,Maine,Kennebec County,25,42,0,23,25,42,25,42
049,005,024,003,Utah,Cache County,Maryland,Anne Arundel County,16,19,0,28,16,19,16,19
049,005,024,031,Utah,Cache County,Maryland,Montgomery County,0,27,12,17,-12,17,12,17
049,005,024,033,Utah,Cache County,Maryland,Prince George's County,0,27,5,8,-5,8,5,8
049,005,024,510,Utah,Cache County,Maryland,Baltimore city,0,27,6,9,-6,9,6,9
049,005,025,005,Utah,Cache County,Massachusetts,Bristol County,1,2,0,29,1,2,1,2
049,005,025,015,Utah,Cache County,Massachusetts,Hampshire County,0,27,23,27,-23,27,23,27
049,005,025,025,Utah,Cache County,Massachusetts,Suffolk County,0,27,43,46,-43,46,43,46
049,005,026,125,Utah,Cache County,Michigan,Oakland County,0,27,15,24,-15,24,15,24
049,005,027,003,Utah,Cache County,Minnesota,Anoka County,0,27,13,19,-13,19,13,19
049,005,027,019,Utah,Cache County,Minnesota,Carver County,18,28,0,20,18,28,18,28
049,005,027,053,Utah,Cache County,Minnesota,Hennepin County,11,13,0,20,11,13,11,13
049,005,027,083,Utah,Cache County,Minnesota,Lyon County,0,27,4,8,-4,8,4,8
049,005,027,137,Utah,Cache County,Minnesota,St. Louis County,0,27,32,52,-32,52,32,52
049,005,028,035,Utah,Cache County,Mississippi,Forrest County,21,33,0,30,21,33,21,33
049,005,029,001,Utah,Cache County,Missouri,Adair County,65,64,0,20,65,64,65,64
049,005,029,071,Utah,Cache County,Missouri,Franklin County,0,27,5,9,-5,9,5,9
